date,time_period,avg_speed,unique_cars,car_percentage
06/09/2020,06/09/2020 00:00,7.897250807,19,0.38
06/09/2020,06/09/2020 02:00,7.839078527,9,0.18
06/09/2020,06/09/2020 04:00,7.882372761,17,0.34
06/09/2020,06/09/2020 06:00,7.111835136,40,0.8
06/09/2020,06/09/2020 08:00,6.872892845,47,0.94
06/09/2020,06/09/2020 10:00,6.805313556,47,0.94
06/09/2020,06/09/2020 12:00,6.945441552,45,0.9
06/09/2020,06/09/2020 14:00,6.955683212,47,0.94
06/09/2020,06/09/2020 16:00,6.885016098,42,0.84
06/09/2020,06/09/2020 18:00,6.572828201,42,0.84
06/09/2020,06/09/2020 20:00,7.094115634,43,0.86
06/09/2020,06/09/2020 22:00,7.114177927,36,0.72
07/09/2020,07/09/2020 00:00,7.898751659,18,0.36
07/09/2020,07/09/2020 02:00,8.173046849,10,0.2
07/09/2020,07/09/2020 04:00,8.618080374,14,0.28
07/09/2020,07/09/2020 06:00,6.56277602,42,0.84
07/09/2020,07/09/2020 08:00,6.871792307,47,0.94
07/09/2020,07/09/2020 10:00,6.891175048,46,0.92
07/09/2020,07/09/2020 12:00,7.224726431,46,0.92
07/09/2020,07/09/2020 14:00,6.83616519,43,0.86
07/09/2020,07/09/2020 16:00,6.531555283,44,0.88
07/09/2020,07/09/2020 18:00,6.693265739,45,0.9
07/09/2020,07/09/2020 20:00,7.004701625,40,0.8
07/09/2020,07/09/2020 22:00,7.05704355,32,0.64
