is_weekend,time_period,total_count,days_count,average_count
weekday,1,842,5,168.4
weekday,2,611,5,122.2
weekday,3,441,5,88.2
weekday,4,337,5,67.4
weekday,5,365,5,73
weekday,6,759,5,151.8
weekday,7,1839,5,367.8
weekday,8,2220,5,444
weekday,9,2173,5,434.6
weekday,10,2332,5,466.4
weekday,11,2104,5,420.8
weekday,12,1908,5,381.6
weekday,13,1760,5,352
weekday,14,1774,5,354.8
weekday,15,1922,5,384.4
weekday,16,1848,5,369.6
weekday,17,2027,5,405.4
weekday,18,2042,5,408.4
weekday,19,1918,5,383.6
weekday,20,1937,5,387.4
weekday,21,1693,5,338.6
weekday,22,1695,5,339
weekday,23,1389,5,277.8
weekday,24,990,5,198
weekend,1,423,2,211.5
weekend,2,293,2,146.5
weekend,3,189,2,94.5
weekend,4,152,2,76
weekend,5,143,2,71.5
weekend,6,310,2,155
weekend,7,648,2,324
weekend,8,944,2,472
weekend,9,936,2,468
weekend,10,959,2,479.5
weekend,11,911,2,455.5
weekend,12,739,2,369.5
weekend,13,724,2,362
weekend,14,811,2,405.5
weekend,15,836,2,418
weekend,16,740,2,370
weekend,17,865,2,432.5
weekend,18,787,2,393.5
weekend,19,764,2,382
weekend,20,801,2,400.5
weekend,21,738,2,369
weekend,22,724,2,362
weekend,23,609,2,304.5
weekend,24,463,2,231.5
