category,0,2,4,6,8,10,12,14,16,18,20,22
Transportation,59.5,34.5,31.5,103.0,138.5,142.5,117.5,115.0,117.5,104.5,109.5,101.0
Education and Culture,13.5,5.0,9.5,27.5,30.5,36.5,28.5,37.5,35.5,34.5,42.0,27.5
Tourist Attractions,4.5,1.0,3.5,14.0,14.0,15.0,7.0,11.0,11.0,7.0,9.0,12.0
Accommodation,14.0,7.0,11.5,32.5,49.0,39.0,24.5,26.0,37.5,30.5,26.5,21.0
Automotive Services,19.0,7.0,11.5,43.5,42.5,44.0,33.5,37.0,40.0,32.5,45.5,27.0
Life Services,42.5,19.5,20.5,62.0,119.5,108.5,99.0,105.5,101.5,103.0,95.5,78.0
Dining,54.0,30.0,21.5,91.0,117.0,120.5,97.0,100.0,103.5,113.5,103.0,100.5
Shopping,68.0,41.5,35.0,132.5,201.5,198.0,182.5,190.0,175.0,184.5,174.0,145.5
Leisure and Entertainment,8.5,3.5,2.0,5.5,10.0,11.0,12.5,6.5,8.5,18.5,14.5,12.0
Healthcare,11.5,5.0,7.5,14.0,29.5,30.0,26.0,24.5,25.5,37.0,27.0,22.5
Businesses,44.0,24.0,15.0,60.5,94.5,93.0,58.0,71.5,89.0,89.5,87.0,79.5
Fitness,1.0,2.0,1.0,5.5,5.5,5.0,6.0,4.5,4.0,5.0,5.5,3.0
Commercial and Residential,13.5,8.0,10.5,30.5,51.5,46.5,42.0,46.0,47.5,39.5,37.5,27.0
Financial Institutions,8.0,3.0,1.5,5.0,11.0,7.5,7.0,11.0,6.5,10.0,8.5,7.0
